Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,-18.00,15.00,Mil,Jan 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,41.00,8.00,Mil,Jan 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,0.00,16.00,Mil,Jan 2026
Reporte ADP De Empleo,22.00,37.00,Mil,Jan 2026
Cambio de Empleo ADP (ADP) Semanal,6.50,5.00,Mil,Jan 2026
Recortes de empleo Challenger,108435.00,35553.00,Personas,Jan 2026
Peticiones extendidas de desempleo,1862.00,1841.00,Mil,Jan 2026
Peticiones por desempleo,227.00,232.00,Mil,Feb 2026
Jolts Vacantes de Empleo,6542.00,6928.00,Mil,Dec 2025
Nóminas no agrícolas,130.00,48.00,Mil,Jan 2026
Tasa de Desempleo,4.30,4.40,Por Ciento,Jan 2026
