Indicador,Último,Anterior,Unidad,Referencia
Reporte ADP De Empleo,62.00,147.00,Mil,Apr 2025
Recortes de empleo Challenger,105441.00,275240.00,Personas,Apr 2025
Peticiones extendidas de desempleo,1903.00,1867.00,Mil,May 2025
Peticiones por desempleo,227.00,229.00,Mil,May 2025
Jolts Vacantes de Empleo,7192.00,7480.00,Mil,Mar 2025
Nóminas no agrícolas,177.00,185.00,Mil,Apr 2025
Tasa de desempleo,4.20,4.20,Por Ciento,Apr 2025
