Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,2.00,36.00,Mil,Dec 2025
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,34.00,45.00,Mil,Dec 2025
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,9.00,-96.00,Mil,Dec 2025
Reporte ADP De Empleo,22.00,37.00,Mil,Jan 2026
Cambio de Empleo ADP (ADP) Semanal,6.50,5.00,Mil,Jan 2026
Recortes de empleo Challenger,108435.00,35553.00,Personas,Jan 2026
Peticiones extendidas de desempleo,1844.00,1819.00,Mil,Jan 2026
Peticiones por desempleo,231.00,209.00,Mil,Jan 2026
Jolts Vacantes de Empleo,6542.00,6928.00,Mil,Dec 2025
Nóminas no agrícolas,50.00,56.00,Mil,Dec 2025
Tasa de Desempleo,4.40,4.50,Por Ciento,Dec 2025
