Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,2.00,36.00,Mil,Dec 2025
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,34.00,45.00,Mil,Dec 2025
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,9.00,-96.00,Mil,Dec 2025
Reporte ADP De Empleo,22.00,37.00,Mil,Jan 2026
Cambio de Empleo ADP (ADP) Semanal,7.75,8.00,Mil,Jan 2026
Recortes de empleo Challenger,35553.00,71321.00,Personas,Dec 2025
Peticiones extendidas de desempleo,1827.00,1865.00,Mil,Jan 2026
Peticiones por desempleo,209.00,210.00,Mil,Jan 2026
Jolts Vacantes de Empleo,7146.00,7449.00,Mil,Nov 2025
Nóminas no agrícolas,50.00,56.00,Mil,Dec 2025
Tasa de Desempleo,4.40,4.50,Por Ciento,Dec 2025
