Indicador,Último,Anterior,Unidad,Referencia
Reporte ADP De Empleo,37.00,60.00,Mil,May 2025
Recortes de empleo Challenger,93816.00,105441.00,Personas,May 2025
Peticiones extendidas de desempleo,1945.00,1951.00,Mil,Jun 2025
Peticiones por desempleo,245.00,250.00,Mil,Jun 2025
Jolts Vacantes de Empleo,7391.00,7200.00,Mil,Apr 2025
Nóminas no agrícolas,139.00,147.00,Mil,May 2025
Tasa de desempleo,4.20,4.20,Por Ciento,May 2025
