Indicador,Último,Anterior,Unidad,Referencia
Reporte ADP De Empleo,-33.00,29.00,Mil,Jun 2025
Recortes de empleo Challenger,47999.00,93816.00,Personas,Jun 2025
Peticiones extendidas de desempleo,1964.00,1964.00,Mil,Jun 2025
Peticiones por desempleo,233.00,237.00,Mil,Jun 2025
Jolts Vacantes de Empleo,7769.00,7395.00,Mil,May 2025
Nóminas no agrícolas,147.00,144.00,Mil,Jun 2025
Tasa de desempleo,4.10,4.20,Por Ciento,Jun 2025
