Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,-4.00,11.00,Mil,Mar 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,-20.00,-6.00,Mil,Mar 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,85.00,61.00,Mil,Mar 2026
Reporte ADP De Empleo,62.00,66.00,Mil,Mar 2026
Cambio de Empleo ADP (ADP) Semanal,54.75,40.25,Mil,Apr 2026
Recortes de empleo Challenger,60620.00,48307.00,Personas,Mar 2026
Peticiones extendidas de desempleo,1818.00,1787.00,Mil,Apr 2026
Peticiones por desempleo,207.00,218.00,Mil,Apr 2026
Jolts Vacantes de Empleo,6882.00,7240.00,Mil,Feb 2026
Nóminas no agrícolas,178.00,-133.00,Mil,Mar 2026
Tasa de Desempleo,4.30,4.40,Por Ciento,Mar 2026
