Indicador,Último,Anterior,Unidad,Referencia
Reporte ADP De Empleo,104.00,-23.00,Mil,Jul 2025
Recortes de empleo Challenger,62075.00,47999.00,Personas,Jul 2025
Peticiones extendidas de desempleo,1946.00,1946.00,Mil,Jul 2025
Peticiones por desempleo,218.00,217.00,Mil,Jul 2025
Jolts Vacantes de Empleo,7437.00,7712.00,Mil,Jun 2025
Nóminas no agrícolas,147.00,144.00,Mil,Jun 2025
Tasa de desempleo,4.10,4.20,Por Ciento,Jun 2025
