Indicador,Último,Anterior,Unidad,Referencia
Reporte ADP De Empleo,104.00,-23.00,Mil,Jul 2025
Recortes de empleo Challenger,47999.00,93816.00,Personas,Jun 2025
Peticiones extendidas de desempleo,1955.00,1951.00,Mil,Jul 2025
Peticiones por desempleo,217.00,221.00,Mil,Jul 2025
Jolts Vacantes de Empleo,7437.00,7712.00,Mil,Jun 2025
Nóminas no agrícolas,147.00,144.00,Mil,Jun 2025
Tasa de desempleo,4.10,4.20,Por Ciento,Jun 2025
