Indicador,Último,Anterior,Unidad,Referencia
Cambio de Empleo ADP – Grandes Empresas (ADP) - United States,25.00,40.00,Mil,Jun 2026
Cambio de Empleo ADP (ADP) – Empresas de Tamaño Mediano (Mid-Sized Firms) - United States,29.00,17.00,Mil,Jun 2026
Cambio de Empleo ADP – Pequeñas Empresas (ADP) - United States,53.00,67.00,Mil,Jun 2026
Reporte ADP De Empleo,98.00,122.00,Mil,Jun 2026
Cambio de Empleo ADP (ADP) Semanal,30.75,26.50,Mil,Jun 2026
Recortes de empleo Challenger,45849.00,97006.00,Personas,Jun 2026
Peticiones extendidas de desempleo,1821.00,1800.00,Mil,Jun 2026
Peticiones por desempleo,215.00,227.00,Mil,Jun 2026
Jolts Vacantes de Empleo,7594.00,7585.00,Mil,May 2026
Nóminas no agrícolas,172.00,179.00,Mil,May 2026
Tasa de Desempleo,4.30,4.30,Por Ciento,May 2026
